particle_size,5_500_1_00,5_500_1_01,5_500_1_02,5_500_2_00,5_500_2_01,5_500_2_02,10_500_1_00,10_500_1_01,10_500_1_02,10_500_2_00,10_500_2_01,10_500_2_02,15_500_1_00,15_500_1_01,15_500_1_02,15_500_2_00,15_500_2_01,15_500_2_02,24_800_1_00,24_800_1_01,24_800_1_02,24_800_2_00,24_800_2_01,24_800_2_02,29_500_1_00,29_500_1_01,29_500_1_02,29_500_2_00,29_500_2_01,29_500_2_02,31_500_1_00,31_500_1_01,31_500_1_02,31_500_2_00,31_500_2_01,31_500_2_02
231.5,2079470,1963297,2631022,1515064,2479752,1719423,321399,411759,456287,20589,374775,938682,455333,621866,396690,324615,625878,432722,757001,166760,179345,867860,316115,819984,580500,879165,1106535,1000090,134668,1221111,512723,382453,777769,572235,1716816,618981
232.5,2101347,1812297,2585759,1428894,2465047,1657061,327533,385840,440967,18585,363656,911506,432756,704351,385196,321299,606524,391711,726837,162275,174857,865794,311036,831367,635108,878767,1089549,960956,152531,1203835,486551,364634,781437,594271,1752863,592080
233.5,2124571,1666639,2537781,1350424,2449780,1594812,334279,361328,426248,17006,353173,881987,412025,793218,374510,319178,586164,351883,696756,158540,171060,862328,306243,840565,692481,877651,1071684,923765,173730,1187073,462046,347907,783498,619945,1772092,565838
234.5,2148668,1526983,2487228,1279403,2433503,1532905,341559,338311,412111,15786,343371,850488,393056,887296,364664,318170,565082,313690,666913,155529,167911,857443,301752,847428,751832,875782,1053028,888430,198773,1170824,439267,332307,783810,649072,1772747,540354
235.5,2173139,1393893,2434259,1215537,2415759,1471567,349288,316847,398529,14873,334288,817391,375761,984956,355686,318193,543549,277518,637448,153217,165369,851135,297578,851833,812178,873132,1033680,854869,228212,1155073,418245,317847,782244,681357,1753707,515709
236.5,2197466,1267826,2379050,1158505,2396093,1411018,357368,296959,385473,14229,325952,783086,360050,1084119,347596,319167,521821,243671,608490,151587,163398,843417,293736,853691,872354,869680,1013742,823004,262636,1139790,398985,304527,778687,716364,1714617,491971
237.5,2221119,1149130,2321786,1107978,2374056,1351469,365693,278648,372906,13827,318383,747956,345834,1182312,340412,321011,500129,212373,580153,150624,161965,834315,290241,852951,931047,865415,993324,792768,302651,1124931,381471,292333,773048,753484,1655956,469191
238.5,2243556,1038039,2262665,1063622,2349218,1293118,374146,261891,360792,13649,311593,712375,333025,1276754,334148,323642,478680,183761,552535,150318,161040,823871,287107,849597,986842,860331,972538,764097,348854,1110442,365671,281245,765258,791908,1579055,447406
239.5,2264233,934675,2201888,1025114,2321169,1236146,382598,246647,349091,13689,305591,676693,321539,1364499,328814,326971,457656,157895,525722,150666,160596,812137,284347,843650,1038285,854430,951495,736935,401805,1096252,351543,271231,755278,830607,1486037,426643
240.5,2282610,839056,2139663,992147,2289535,1180716,390913,232865,337763,13945,300378,641235,311292,1442596,324422,330905,437209,134761,499782,151665,160607,799181,281973,835171,1083954,847722,930305,711232,461979,1082286,339035,262258,743099,868328,1379708,406914
241.5,2298164,751098,2076201,964436,2253987,1126973,398947,220484,326766,14427,295953,606293,302209,1508280,320978,335344,417465,114282,474770,153319,161051,785076,279994,824250,1122538,840226,909079,686943,529723,1068456,328093,254289,728746,903608,1263377,388225
242.5,2310391,670627,2011711,941719,2214247,1075040,406552,209436,316064,15152,292310,572125,294217,1559155,318491,340181,398523,96333,450727,155637,161905,769907,278421,811015,1152911,831965,887918,664029,605196,1054670,318658,247285,712275,934812,1140653,370570
243.5,2318825,597396,1946403,923762,2170102,1025018,413574,199651,305617,16146,289441,538948,287248,1593362,316969,345297,380459,80747,427682,158629,163148,753765,277261,795618,1174199,822971,866924,642453,688316,1040827,310675,241205,693780,960198,1015213,353938
244.5,2323039,531088,1880482,910361,2121408,976989,419864,191062,295392,17448,287336,506946,281239,1609708,316418,350569,363325,67335,405650,162313,164759,736746,276519,778239,1185834,813281,846187,622185,778699,1026825,304086,236013,673385,978017,890582,338312
245.5,2322663,471339,1814151,901337,2068102,931015,425273,183598,285357,19105,285981,476260,276129,1607752,316849,355861,347154,55889,384637,166705,166718,718952,276201,759075,1187584,802940,825794,603193,875613,1012561,298841,231670,651249,986630,769937,323668
246.5,2317384,417745,1747605,896542,2010204,887135,429662,177196,275484,21181,285363,447000,271866,1587815,318270,361031,331964,46198,364641,171828,169004,700484,276308,738340,1179565,791995,805823,585454,977945,997930,294890,228141,627556,984646,655952,309981
247.5,2306964,369880,1681035,895850,1947822,845374,432902,171795,265750,23753,285464,419240,268399,1550949,320693,365929,317754,38052,345650,177706,171596,681446,276843,716259,1162224,780501,786343,568942,1084176,982830,292190,225391,602516,971061,550703,297221
248.5,2291238,327302,1614624,899163,1881156,805737,434883,167337,256136,26918,286267,393027,265679,1498836,324126,370400,304514,31250,327646,184365,174469,661943,277804,693060,1136303,768516,767418,553636,1192403,967166,290700,223389,576358,945384,455616,285357
249.5,2270121,289569,1548547,906401,1810492,768216,435508,163773,246628,30794,287750,368378,263662,1433655,328583,374286,292224,25605,310604,191832,177601,642076,279188,668974,1102790,756098,749100,539514,1300366,950847,290384,222105,549325,907728,371490,274357
250.5,2243613,256244,1482973,917503,1736202,732787,434709,161056,237218,35521,289889,345288,262307,1357919,334074,377431,280855,20946,294495,200134,180964,621943,280990,644227,1062852,743312,731436,526556,1405531,933793,291211,221511,521668,858855,298543,264188
251.5,2211797,226905,1418061,932420,1658734,699416,432437,159144,227900,41268,292660,323735,261574,1274305,340608,379679,270372,17119,279287,209298,184531,601642,283202,619038,1017766,730222,714465,514743,1505180,915934,293151,221581,493640,800157,236504,254815
252.5,2174836,201148,1353962,951112,1578608,668059,428672,158002,218675,48229,296031,303677,261424,1185496,348195,380885,260736,13989,264944,219348,188272,581263,285813,593615,968848,716893,698217,504058,1596542,897213,296177,222290,465490,733571,184723,246208
253.5,2132972,178595,1290818,973545,1496397,638663,423423,157597,209549,56630,299969,285063,261821,1094033,356840,380915,251906,11438,251429,230304,192153,560893,288810,568152,917393,703390,682716,494482,1676935,877589,300263,223614,437459,661442,142280,238332
254.5,2086517,158892,1228761,999680,1412719,611167,416724,157900,200531,66724,304436,267830,262726,1002213,366544,379651,243837,9364,238703,242184,196139,540613,292176,542829,864618,689777,667980,485998,1743911,857034,305385,225528,409771,586333,108098,231159
255.5,2035846,141717,1167917,1029472,1328222,585507,408635,158884,191633,78791,309388,251908,264102,912009,377302,376995,236484,7683,226727,254996,200190,520497,295890,517806,811626,676119,654019,478589,1795397,835542,311513,228009,382634,510829,81032,224656
256.5,1981390,126772,1108400,1062857,1243562,561614,399244,160525,182872,93130,314776,237225,265912,825029,389103,372875,229802,6321,215461,268742,204267,500616,299928,493227,759372,662476,640840,472239,1829815,813120,318618,231032,356231,437334,59950,218798
257.5,1923618,113793,1050315,1099751,1159393,539418,388657,162797,174265,110047,320545,223702,268116,742507,401925,367245,223746,5221,204866,283412,208326,481030,304260,469217,708656,648906,628444,466931,1846175,789798,326666,234572,330723,367911,43789,213556
258.5,1863035,102539,993760,1140039,1076351,518844,377002,165675,165833,129843,326633,211263,270673,665317,415738,360090,218271,4331,194905,298986,212319,461798,308855,445881,660114,635465,616826,462647,1844125,765619,335614,238601,306244,304162,31590,208905
259.5,1800163,92800,938820,1183566,995035,499819,364420,169132,157596,152789,332971,199830,273538,594005,430494,351429,213335,3612,185539,315427,216197,442969,313672,423307,614225,622205,605979,459373,1823960,740649,345413,243089,282903,247171,22515,204823
260.5,1735534,84386,885573,1230130,915996,482272,351062,173135,149576,179102,339484,189326,276667,528838,446134,341311,208894,3031,176732,332682,219912,424587,318670,401565,571326,609173,595890,457090,1786592,714965,356005,248003,260779,197501,15862,201288
261.5,1669678,77135,834087,1279475,839727,466128,337088,177649,141794,208909,346090,179676,280009,469848,462581,329818,204909,2560,168449,350684,223409,406689,323800,380709,531629,596414,586545,455780,1733477,688664,367320,253307,239929,155250,11050,198281
262.5,1603108,70902,784419,1331284,766655,451318,322657,182629,134270,242212,352701,170810,283513,416887,479735,317062,201340,2179,160658,369340,226636,389308,329010,360777,495237,583967,577925,455424,1666516,661852,379275,258960,220385,120129,7615,195782
