particle_size,12_500_1_00,12_500_1_01,12_500_1_02,12_500_2_00,12_500_2_01,12_500_2_02,30_600_2_00,30_600_2_01,30_600_2_02,30_600_1_00,30_600_1_01,30_600_1_02,12_500_12_00,12_500_12_01,12_500_12_02,3_250_2_00,3_250_2_01,3_250_2_02,3_250_1_00,3_250_1_01,3_250_1_02,14_500_2_00,14_500_2_01,14_500_2_02,14_500_1_00,14_500_1_01,14_500_1_02,23_800_2_00,23_800_2_01,23_800_2_02,23_800_1_00,23_800_1_01,23_800_1_02,32_500_2_00,32_500_2_01,32_500_2_02,32_500_1_00,32_500_1_01,32_500_1_02,5_500_1_00,5_500_1_01,5_500_1_02,5_500_2_00,5_500_2_01,5_500_2_02,10_500_1_00,10_500_1_01,10_500_1_02,10_500_2_00,10_500_2_01,10_500_2_02,15_500_1_00,15_500_1_01,15_500_1_02,15_500_2_00,15_500_2_01,15_500_2_02,24_800_1_00,24_800_1_01,24_800_1_02,24_800_2_00,24_800_2_01,24_800_2_02,29_500_1_00,29_500_1_01,29_500_1_02,29_500_2_00,29_500_2_01,29_500_2_02,31_500_1_00,31_500_1_01,31_500_1_02,31_500_2_00,31_500_2_01,31_500_2_02,6_500_1_00,6_500_1_01,6_500_1_02,6_500_2_00,6_500_2_01,6_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,19_500_1_00,19_500_1_01,19_500_1_02,19_500_2_00,19_500_2_01,19_500_2_02,28_500_1_00,28_500_1_01,28_500_1_02,28_500_2_00,28_500_2_01,28_500_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02
37.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,4002,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,1,0,0,0,0,0
38.5,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,1219,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,2,0,0,0,0,0
39.5,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057,304,3,0,0,0,0,0,203,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,5,0,0,0,0,0
40.5,3,0,0,112,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,65,3,0,0,0,0,0,1146,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2072,2,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,51,0,9,0,0,0,0,0
41.5,10,0,0,194,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545,13,3,0,0,0,0,0,4650,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2652,5,0,2,0,0,0,0,0,0,0,0,0,30,7,0,0,0,40,0,18,0,0,0,0,0
42.5,33,0,0,305,0,0,9432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853,2,3,0,0,0,0,0,13893,0,3203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3392,16,0,2,0,0,0,0,0,0,0,0,0,175,23,0,0,0,32,0,33,0,0,0,0,0
43.5,104,0,0,442,0,1,47942,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3210,0,3,0,0,0,0,0,31447,0,9562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,0,0,9,0,0,0,0,0,0,0,0,0,0,4337,43,0,3,0,0,0,0,0,0,0,0,0,767,69,0,0,0,27,0,60,0,0,0,0,0
44.5,292,0,0,597,0,3,122229,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3622,0,2,0,0,0,0,0,55640,0,21914,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,38,62,2,0,0,11,0,0,0,0,0,0,0,0,0,0,5538,102,0,5,2,0,0,0,0,0,0,0,0,2547,188,0,0,0,24,0,106,0,0,0,0,0
45.5,745,0,0,761,0,9,169725,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,4099,0,2,0,2,0,0,0,79550,0,40441,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,333,134,5,0,0,14,0,0,0,0,0,0,0,1,0,0,7061,213,0,7,5,0,0,0,0,0,0,0,0,6583,469,0,0,0,22,0,183,0,0,0,0,0
46.5,1737,1,0,924,0,25,139833,0,0,0,0,0,0,0,0,58,0,6,0,0,0,0,4656,0,2,0,5,0,0,0,95107,0,62686,0,0,3,0,0,0,0,0,0,0,0,0,11,13,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,271,9,0,0,17,0,0,0,0,0,0,2,2,0,0,8982,401,0,11,13,0,0,0,0,0,0,0,0,13609,1082,0,0,0,22,0,306,0,0,0,0,0
