particle_size,12_500_1_00,12_500_1_01,12_500_1_02,12_500_2_00,12_500_2_01,12_500_2_02,30_600_2_00,30_600_2_01,30_600_2_02,30_600_1_00,30_600_1_01,30_600_1_02,12_500_12_00,12_500_12_01,12_500_12_02,3_250_2_00,3_250_2_01,3_250_2_02,3_250_1_00,3_250_1_01,3_250_1_02,14_500_2_00,14_500_2_01,14_500_2_02,14_500_1_00,14_500_1_01,14_500_1_02,23_800_2_00,23_800_2_01,23_800_2_02,23_800_1_00,23_800_1_01,23_800_1_02,32_500_2_00,32_500_2_01,32_500_2_02,32_500_1_00,32_500_1_01,32_500_1_02
375.5,7141,25724,101835,0,19587,0,29,8639,58512,0,0,209057,22,0,92911,0,12862,0,0,160993,0,414607,18511,0,30753,17311,247754,0,5253,0,0,0,0,0,21136,56838,49,0,19359
376.5,7832,24087,109938,0,22369,0,43,8089,61334,0,0,215923,36,0,95275,0,9478,0,0,146995,0,410870,18845,0,29857,13008,244534,0,5377,0,0,0,0,0,20832,56099,51,0,18783
377.5,8586,22435,117464,0,25597,0,63,7574,63994,0,0,219957,59,0,97664,0,6922,0,0,132652,0,401105,19181,0,28894,9643,240989,0,5529,0,0,0,0,0,20460,55295,53,0,18192
378.5,9408,20784,124162,0,29330,0,94,7092,66460,0,0,220797,95,0,100068,0,5013,0,0,118324,0,385998,19520,0,27868,7057,237143,0,5711,0,0,0,0,0,20024,54427,56,0,17590
379.5,10301,19147,129785,0,33630,0,139,6642,68704,0,0,218209,151,0,102480,0,3602,0,0,104334,0,366411,19860,0,26786,5102,233018,0,5924,0,0,0,0,0,19527,53494,59,0,16979
380.5,11271,17539,134104,0,38561,0,206,6221,70697,0,0,212125,239,0,104886,0,2570,0,0,90952,0,343312,20200,0,25655,3647,228636,0,6170,0,1,0,0,0,18976,52497,62,0,16363
381.5,12320,15973,136926,0,44186,0,304,5828,72417,0,0,202662,375,0,107273,0,1822,0,0,78393,0,317701,20540,0,24483,2581,224023,0,6453,0,1,0,0,0,18375,51436,66,0,15745
382.5,13454,14461,138101,0,50564,0,448,5459,73844,0,0,190125,583,0,109624,0,1284,0,0,66815,1,290549,20879,0,23277,1808,219204,0,6775,0,2,0,0,0,17730,50314,71,0,15127
383.5,14676,13012,137540,0,57747,0,657,5115,74964,0,0,174994,897,0,111919,0,900,0,0,56319,1,262755,21215,0,22049,1257,214203,0,7140,0,3,0,0,0,17047,49132,76,0,14512
384.5,15989,11636,135221,0,65773,0,959,4794,75766,0,0,157893,1364,0,114136,0,628,0,0,46953,2,235104,21549,0,20807,866,209045,0,7551,0,4,0,0,0,16333,47893,82,0,13902
385.5,17397,10340,131191,0,74662,0,1393,4493,76246,0,0,139543,2049,0,116249,0,437,0,0,38724,2,208249,21879,0,19561,594,203755,0,8012,0,6,0,0,0,15594,46599,90,0,13301
386.5,18901,9129,125569,0,84409,0,2008,4212,76405,0,2,120700,3040,0,118229,0,303,0,0,31597,3,182703,22206,0,18320,404,198356,0,8529,0,9,0,0,0,14837,45254,98,0,12710
387.5,20505,8007,118539,0,94980,0,2874,3950,76247,0,4,102101,4451,0,120044,0,210,0,0,25512,4,158841,22527,0,17094,274,192873,0,9105,0,12,0,0,0,14067,43863,107,0,12130
388.5,22209,6976,110336,0,106298,0,4077,3705,75782,0,8,84401,6425,0,121659,0,145,0,0,20386,5,136911,22844,0,15890,185,187326,0,9747,0,17,0,0,0,13291,42428,117,0,11564
389.5,24015,6037,101239,0,118247,0,5732,3477,75026,0,18,68130,9139,0,123037,0,100,0,0,16124,6,117046,23155,0,14718,125,181738,0,10461,0,23,0,0,0,12514,40956,129,0,11013
390.5,25921,5188,91547,0,130658,0,7977,3264,73994,0,38,53666,12800,0,124137,0,69,0,0,12626,8,99288,23461,0,13583,84,176127,0,11252,0,31,0,0,0,11742,39451,143,0,10478
