particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_2_1_00,std_after_125_2_1_01,std_after_125_2_1_02,std_after_125_2_2_00,std_after_125_2_2_01,std_after_125_2_2_02,std_after_125_3_1_00,std_after_125_3_1_01,std_after_125_3_1_02,std_after_125_3_2_00,std_after_125_3_2_01,std_after_125_3_2_02,std_after_125_4_1_00,std_after_125_4_1_01,std_after_125_4_1_02,std_after_125_4_2_00,std_after_125_4_2_01,std_after_125_4_2_02,std_after_125_5_1_00,std_after_125_5_1_01,std_after_125_5_1_02,std_after_125_5_2_00,std_after_125_5_2_01,std_after_125_5_2_02,std_after_125_6_1_00,std_after_125_6_1_01,std_after_125_6_1_02,std_after_125_6_2_00,std_after_125_6_2_01,std_after_125_6_2_02,std_before_125_6_1_00,std_before_125_6_1_01,std_before_125_6_1_02,std_before_125_6_2_00,std_before_125_6_2_01,std_before_125_6_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_2_2_00,std_before_125_2_2_01,std_before_125_2_2_02,std_before_125_3_1_00,std_before_125_3_1_01,std_before_125_3_1_02,std_before_125_3_2_00,std_before_125_3_2_01,std_before_125_3_2_02,std_before_125_5_1_00,std_before_125_5_1_01,std_before_125_5_1_02,std_before_125_5_2_00,std_before_125_5_2_01,std_before_125_5_2_02,std_before_125_4_1_00,std_before_125_4_1_01,std_before_125_4_1_02,std_before_125_4_2_00,std_before_125_4_2_01,std_before_125_4_2_02
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14356,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28034,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23861,4,0,0,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9643,14,0,0,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,32,0,0,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,47,0,0,0,0,0,0,0,0,0,0
30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,0,0,0,0,0,0,0,0,0,0
31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
35.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,282,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,862,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,2146,0,0,0,0,31,0,0,0,0,0,0,0,0,5,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,4439,0,0,0,0,87,0,0,0,0,0,0,0,0,8,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,7797,0,0,0,0,206,0,0,0,0,0,0,0,0,13,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,11861,0,0,0,0,419,0,0,0,0,0,0,0,0,20,0,475,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,15916,0,0,0,0,736,0,0,0,0,0,0,0,0,31,0,549,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,19160,0,0,0,0,1128,0,0,0,0,0,0,0,0,47,0,635,0,18,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.5,0,0,0,0,0,21013,0,0,0,0,1516,0,0,0,0,0,0,0,0,73,0,739,0,309,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,0,0,0,0,0,21281,0,1,0,0,1799,0,0,0,0,0,0,0,0,110,0,865,0,2856,0,0,64,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.5,0,0,0,0,0,20140,0,2,0,0,1898,0,0,0,0,0,0,0,0,165,0,1019,0,14825,0,0,130,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.5,0,0,0,0,0,17992,0,3,0,0,1791,0,0,0,0,0,0,0,0,244,0,1210,0,45389,0,3,248,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.5,0,0,0,0,0,15303,0,4,0,0,1521,0,0,0,0,0,0,0,0,355,0,1449,0,86170,0,11,448,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,13476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.5,0,0,0,0,0,12476,0,7,0,0,1174,0,0,0,0,0,0,0,0,512,2,1750,0,106818,0,41,760,0,0,0,0,0,1,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,58495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52.5,0,0,0,0,0,9803,0,10,0,0,829,0,0,0,0,0,0,0,0,729,5,2133,0,91191,0,134,1215,0,0,0,0,0,3,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,153816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
53.5,0,0,0,0,0,7456,0,16,0,0,542,0,0,0,0,0,0,0,0,1025,15,2623,0,56619,0,383,1835,0,0,0,0,0,8,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,256688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
54.5,0,0,0,0,0,5506,0,25,0,0,332,0,0,0,0,0,0,0,0,1429,43,3252,0,27026,0,964,2626,0,0,0,1,0,18,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,286581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
55.5,0,0,0,0,0,3957,0,39,0,0,193,0,0,0,0,0,0,0,0,1974,120,4064,0,10489,0,2143,3573,0,0,0,9,0,40,0,0,0,2,0,437,0,2,0,0,0,0,0,0,0,0,0,0,226848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
56.5,0,0,0,0,0,2773,0,62,0,0,108,0,0,0,0,0,0,0,0,2710,322,5117,0,3500,0,4218,4644,0,0,0,51,0,82,0,0,0,4,0,618,1,9,0,0,0,0,0,0,0,0,0,0,135468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
57.5,0,0,0,0,0,1898,0,96,0,0,59,0,0,0,0,0,0,2,0,3698,832,6487,0,1061,0,7397,5799,0,0,0,221,0,155,0,0,0,8,0,856,4,30,0,0,0,1,0,0,0,0,0,0,65112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
58.5,0,0,0,0,0,1270,0,151,0,0,32,0,0,0,0,0,0,6,0,5028,2052,8272,0,308,0,11642,6995,0,0,0,782,0,272,0,0,0,17,0,1165,11,101,0,0,0,3,0,0,0,0,0,0,26900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
59.5,0,0,0,0,0,832,0,236,0,0,17,0,0,0,0,0,0,15,0,6817,4785,10604,0,90,2,16581,8204,0,0,0,2246,0,449,0,0,0,33,0,1563,26,321,0,0,0,8,0,0,2,0,0,0,10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743
60.5,0,0,0,0,0,535,0,370,0,0,10,0,0,0,0,2,0,37,0,9230,10449,13654,0,28,12,21580,9417,0,0,0,5288,0,700,0,0,0,64,0,2075,56,946,0,0,0,21,0,0,6,0,0,0,3769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1156
61.5,0,0,0,0,0,339,0,579,0,0,6,0,0,0,0,4,0,88,0,12490,21211,17647,0,9,46,25937,10649,0,0,0,10330,0,1036,0,2,0,123,0,2735,109,2573,0,0,0,52,0,0,14,0,0,0,1441,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1713
62.5,0,0,0,0,0,211,0,904,0,0,3,0,0,0,0,11,0,201,0,16904,39803,22876,0,4,146,29114,11944,0,0,0,17022,0,1465,0,7,0,231,1,3591,198,6389,0,2,0,126,0,0,35,0,0,0,599,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2433
63.5,0,0,0,0,0,131,0,1407,0,0,2,0,0,0,2,27,0,436,0,22894,68845,29723,0,2,383,30880,13373,0,0,0,24107,0,1990,0,26,0,426,3,4708,341,14399,0,6,0,293,0,1,82,0,0,0,283,7,0,0,0,0,0,0,0,0,0,0,9,0,2,0,2,3334
64.5,3,0,0,0,0,80,0,2183,0,0,1,0,0,0,6,67,0,908,0,31034,109744,38688,0,0,849,31319,15034,0,0,0,29969,0,2616,0,81,0,771,8,6179,565,29356,0,15,0,655,0,4,187,0,0,0,157,27,0,0,0,0,0,0,0,1,0,0,20,2,4,0,6,4440
65.5,13,0,0,0,0,49,0,3369,0,0,1,0,0,0,18,159,0,1808,0,42107,161663,50414,0,0,1625,30735,17063,0,0,0,33458,0,3349,0,212,0,1368,16,8135,910,54134,0,35,0,1409,0,11,411,0,0,0,104,89,0,0,0,0,0,0,0,1,0,0,44,11,10,0,16,5789
66.5,46,1,0,0,0,31,0,5164,0,3,0,0,0,0,50,360,0,3439,0,57168,221260,65732,0,0,2736,29527,19633,0,0,0,34350,0,4200,0,487,0,2379,32,10757,1438,90553,0,76,0,2913,0,29,870,0,0,0,84,246,0,2,0,0,0,0,0,2,4,8,97,45,26,0,40,7439
67.5,156,3,0,0,0,19,0,7854,0,13,0,0,0,0,133,774,0,6253,0,77634,283529,85703,0,0,4145,28078,22980,0,0,0,33218,0,5192,0,1001,0,4058,61,14301,2239,138179,0,155,0,5782,0,75,1778,0,0,0,83,579,0,17,0,0,0,3,0,3,18,44,213,169,66,0,101,9487
68.5,500,9,0,0,0,12,0,11840,0,47,0,0,0,0,332,1564,2,10873,0,105378,343432,111672,0,0,5765,26707,27417,0,0,0,30979,0,6360,0,1883,0,6784,111,19123,3451,193905,0,300,2,11017,0,186,3511,0,0,0,99,1199,0,94,0,0,0,9,0,5,69,193,463,572,162,0,248,12079
69.5,1489,21,3,0,0,8,0,17675,0,153,0,0,0,0,780,2965,10,18104,0,142851,397476,145325,2,0,7513,25654,33372,0,0,0,28490,0,7764,0,3301,0,11115,192,25714,5265,252771,0,559,9,20170,0,442,6702,0,0,0,140,2238,0,414,0,0,0,30,1,8,233,663,995,1705,388,1,589,15433
70.5,4110,48,9,0,0,6,0,26109,0,428,1,0,0,0,1723,5274,52,28928,0,193200,444578,188748,8,1,9345,25098,41426,0,0,0,26366,0,9491,0,5498,0,17850,321,34750,7946,309676,0,1012,30,35522,0,1008,12367,0,0,0,233,3864,0,1476,0,2,0,90,5,16,707,1832,2103,4476,901,4,1356,19872
71.5,10469,101,26,0,0,4,0,38141,0,1039,2,0,0,1,3588,8829,234,44474,0,260384,486020,244478,28,2,11284,25193,52370,0,0,0,24990,0,11665,0,8832,0,28090,518,47145,11844,361080,0,1807,97,60267,0,2214,22074,0,0,0,438,6319,0,4352,0,12,0,257,20,31,1933,4213,4353,10351,2014,11,3025,25864
72.5,24541,202,71,0,0,3,0,55076,0,2212,2,0,0,5,7059,13989,924,66000,0,349271,524840,315542,91,4,13422,26102,67264,0,0,0,24609,0,14471,0,13853,2,43309,815,64121,17404,405919,0,3201,295,98677,4,4681,38135,0,0,0,913,9994,0,10902,0,63,0,693,73,65,4779,8327,8788,21203,4322,31,6507,34090
73.5,52871,387,183,0,0,3,0,78591,0,4175,4,0,0,20,13165,21152,3228,94883,0,465667,565098,405478,280,10,15923,28045,87508,0,0,0,25449,3,18172,2,21417,7,65401,1261,87276,25173,445572,0,5669,845,156216,19,9532,63819,0,0,0,2040,15545,0,23827,0,300,0,1761,247,144,10769,14593,17255,38820,8884,82,13463,45531
74.5,104712,716,451,0,0,2,0,110804,0,7081,7,4,2,74,23380,30818,9983,132648,0,616276,611351,518307,815,23,19030,31343,114914,0,0,0,27831,9,23150,8,32834,20,96701,1929,118659,35811,483222,0,10074,2280,239591,78,18700,103565,0,0,0,4759,24083,0,46653,2,1261,0,4232,763,335,22346,23333,32861,64311,17468,212,26721,61591
75.5,191013,1295,1064,0,0,2,0,154341,0,10963,13,16,8,253,39712,43718,27437,181038,1,808525,668437,658469,2240,60,23086,36493,151765,3,0,0,32286,26,29964,27,50092,57,139962,2938,160830,50116,523123,3,17994,5805,356712,309,35340,163177,0,0,0,11287,37474,4,83848,10,4677,2,9630,2165,801,43159,34916,60570,97801,32863,537,50754,84258
76.5,322057,2309,2407,0,0,2,0,212403,0,15756,27,60,35,810,64818,61013,67377,242121,4,1050254,741526,830690,5782,161,28583,44269,200848,16,0,0,39717,78,39429,90,76132,156,198262,4480,216890,69086,570089,19,32278,13958,516551,1148,64348,249965,0,0,0,26588,58835,18,141314,55,15242,12,20786,5631,1951,78428,49973,107861,138692,59219,1332,92095,116297
77.5,504376,4079,5239,0,0,2,0,288813,0,21381,59,206,142,2420,102122,84564,148862,318439,15,1349237,836346,1039796,13974,437,36238,55871,265447,91,0,0,51634,225,52738,287,115195,421,274856,6871,290476,94031,629329,110,57996,31727,728911,3961,112908,372807,0,0,0,60999,93298,81,227304,280,43649,74,42614,13456,4776,135452,69642,185317,186388,102425,3241,159465,161481
78.5,738284,7174,11015,0,0,3,0,388045,0,27847,134,652,547,6753,155950,117329,298223,413164,51,1712564,959488,1290452,31575,1183,47119,73157,349280,429,2,0,70515,624,71633,878,173198,1110,372957,10633,385691,126755,706547,540,103923,68241,1004091,12603,190991,542090,0,0,0,134159,149172,334,353722,1264,110161,401,83095,29663,11583,224286,95825,306880,241119,170473,7721,263385,224808
79.5,1017357,12592,22407,0,0,4,0,515223,1,35347,310,1904,1989,17582,231680,163915,546195,530263,174,2145918,1118711,1586862,66664,3155,62841,98986,456371,1742,11,0,100373,1668,98648,2569,258078,2852,495497,16631,506957,169833,808190,2293,184711,139042,1352471,36757,311656,769455,0,0,0,279512,239567,1250,537690,5044,246373,1851,154304,60647,27481,358567,131521,489513,304608,273803,17930,415108,312684
80.5,1330290,22087,44154,0,0,6,1,676058,9,44330,729,5134,6760,42711,335888,231392,922130,674648,583,2652822,1323212,1932428,131588,8185,85861,137707,590856,6112,68,3,147568,4289,137425,7140,380001,7109,644885,26296,658798,227010,941743,8419,323662,268653,1784024,97872,491025,1067295,0,0,0,547188,384453,4270,803173,17708,492023,7310,273219,115735,63017,556326,181289,751996,380499,425578,40363,624923,432973
