particle_size,std_after_125_4_1_00,std_after_125_4_1_01,std_after_125_4_1_02,std_after_125_4_2_00,std_after_125_4_2_01,std_after_125_4_2_02,std_before_125_4_1_00,std_before_125_4_1_01,std_before_125_4_1_02,std_before_125_4_2_00,std_before_125_4_2_01,std_before_125_4_2_02
144.5,753204,336220,487052,1911815,89685,107972,81694,12796,6309,31777,506534,10165
145.5,653543,244919,471916,2070849,83243,106689,61519,12227,7546,40445,490311,6108
146.5,557422,173971,451247,2152134,78227,106424,45508,12005,9284,52199,468053,3551
147.5,467303,120700,425252,2137924,74496,107122,33063,12127,11722,68034,440423,1998
148.5,385108,81955,394524,2023784,71927,108736,23587,12617,15142,89160,408334,1087
149.5,312107,54585,359997,1821024,70419,111222,16519,13522,19948,116961,372886,573
150.5,248906,35750,322861,1554817,69881,114538,11355,14924,26699,152874,335292,292
151.5,195500,23086,284446,1258349,70236,118634,7658,16945,36151,198162,296795,144
152.5,151392,14739,246096,965051,71405,123446,5067,19764,49303,253556,258584,69
153.5,115735,9330,209052,701658,73298,128889,3287,23628,67399,318777,221728,32
154.5,87470,5872,174356,484232,75805,134853,2091,28873,91898,392017,187112,14
155.5,65464,3683,142788,317827,78777,141194,1303,35951,124332,469505,155405,6
156.5,48603,2309,114843,198937,82014,147727,796,45445,166036,545378,127049,3
157.5,35865,1449,90739,119156,85256,154229,476,58083,217701,612066,102260,1
158.5,26358,913,70454,68578,88172,160436,279,74735,278784,661291,81059,0
159.5,19332,578,53776,38106,90373,166050,160,96360,346864,685623,63300,0
160.5,14180,368,40367,20553,91438,170749,89,123904,417183,680217,48721,0
161.5,10426,236,29810,10824,90951,174203,49,158103,482659,644217,36978,0
162.5,7699,152,21666,5602,88573,176095,26,199197,534643,581287,27692,0
163.5,5724,99,15502,2869,84105,176147,14,246559,564510,498976,20474,0
164.5,4292,65,10923,1464,77556,174148,7,298311,565804,407075,14956,0
165.5,3253,43,7580,750,69180,169972,3,351044,536276,315484,10802,0
166.5,2496,28,5183,389,59470,163606,2,399827,478991,232285,7719,0
167.5,1943,19,3491,205,49092,155153,0,438655,401911,162584,5463,0
168.5,1537,12,2317,111,38786,144837,0,461418,315942,108307,3831,0
169.5,1237,8,1515,62,29239,132990,0,463268,232134,68789,2665,0
170.5,1015,5,976,36,20973,120025,0,442033,159100,41749,1841,0
171.5,848,3,619,22,14278,106411,0,399170,101560,24282,1263,0
172.5,724,2,387,14,9205,92628,0,339796,60310,13580,862,0
173.5,632,1,238,10,5609,79133,0,271644,33292,7331,586,0
174.5,563,0,144,7,3226,66328,0,203212,17076,3837,396,0
175.5,513,0,86,6,1748,54534,0,141778,8138,1957,267,0
