particle_size,6_500_1_00,6_500_1_01,6_500_1_02,6_500_2_00,6_500_2_01,6_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,19_500_1_00,19_500_1_01,19_500_1_02,19_500_2_00,19_500_2_01,19_500_2_02,28_500_1_00,28_500_1_01,28_500_1_02,28_500_2_00,28_500_2_01,28_500_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02
240.5,197749,18202,5794,175210,94074,304940,49242,154244,2416,26864,0,89652,130228,131095,3741,214820,64543,145706,176873,23401,353,211168,40320,21,244993,201902,98532,49274,35591,394101
241.5,187767,19481,5539,147170,90198,273326,56951,155159,2156,28760,0,84369,136694,124880,4186,208363,64221,150863,191225,18984,432,214839,39781,28,244403,219094,92595,47135,29120,402432
242.5,177931,20909,5390,122561,86416,241463,65507,155660,1943,30874,0,78889,143233,119138,4712,201879,64177,156691,205535,15449,532,217274,39377,37,243964,237614,87252,45370,23923,411018
243.5,168281,22494,5340,101405,82735,210223,74876,155716,1768,33208,0,73267,149702,113863,5332,195381,64397,163202,219545,12626,662,218442,39095,50,243610,257388,82449,43950,19747,419742
244.5,158857,24247,5386,83530,79160,180360,84982,155302,1626,35761,0,67566,155941,109044,6061,188885,64871,170404,232983,10376,830,218344,38921,67,243273,278297,78136,42853,16389,428472
245.5,149690,26174,5532,68645,75698,152478,95703,154402,1511,38524,0,61852,161777,104671,6916,182407,65590,178300,245564,8584,1047,217014,38843,90,242881,300171,74269,42059,13685,437073
246.5,140809,28283,5781,56396,72350,127022,106866,153008,1420,41486,0,56194,167027,100732,7916,175965,66545,186884,257004,7158,1327,214517,38848,122,242361,322788,70806,41555,11504,445398
247.5,132237,30580,6146,46414,69122,104268,118244,151118,1349,44627,0,50662,171507,97216,9083,169577,67729,196143,267034,6022,1688,210947,38921,165,241638,345871,67709,41329,9740,453299
248.5,123994,33070,6643,38341,66016,84342,129561,148743,1296,47920,0,45318,175039,94110,10441,163261,69135,206050,275406,5117,2152,206417,39047,223,240638,369089,64944,41377,8310,460622
249.5,116094,35755,7293,31851,63033,67232,140500,145897,1259,51328,0,40222,177461,91402,12015,157036,70758,216564,281907,4395,2747,201058,39213,302,239288,392060,62481,41694,7149,467211
250.5,108547,38636,8124,26657,60174,52818,150709,142606,1237,54808,0,35419,178637,89081,13836,150918,72591,227627,286370,3821,3508,195009,39400,409,237518,414358,60290,42282,6204,472915
251.5,101360,41710,9176,22515,57441,40898,159825,138902,1229,58306,0,30950,178462,87138,15934,144926,74626,239162,288678,3364,4476,188416,39594,552,235263,435523,58347,43145,5433,477587
252.5,94536,44970,10493,19222,54832,31218,167487,134823,1233,61764,0,26839,176876,85562,18342,139074,76857,251071,288774,3001,5701,181423,39776,745,232463,455075,56628,44291,4803,481089
253.5,88075,48407,12133,16611,52347,23493,173363,130412,1251,65114,0,23102,173863,84348,21094,133378,79274,263232,286659,2716,7242,174168,39928,1001,229067,472533,55113,45729,4287,483296
254.5,81975,52008,14168,14551,49984,17433,177168,125716,1282,68286,0,19744,169455,83488,24227,127849,81868,275499,282394,2494,9168,166778,40032,1339,225034,487426,53782,47474,3866,484098
255.5,76229,55754,16683,12934,47742,12758,178692,120787,1326,71208,0,16759,163733,82980,27777,122500,84628,287703,276095,2325,11558,159371,40069,1783,220336,499322,52618,49540,3521,483404
256.5,70830,59623,19776,11678,45618,9211,177811,115676,1384,73809,0,14133,156823,82820,31780,117341,87541,299648,267929,2201,14500,152046,40022,2361,214957,507843,51605,51948,3242,481145
257.5,65769,63588,23565,10719,43610,6561,174502,110436,1458,76022,0,11847,148887,83008,36272,112380,90592,311118,258103,2117,18090,144891,39873,3108,208895,512682,50729,54718,3016,477277
258.5,61035,67617,28179,10008,41715,4612,168850,105118,1547,77785,0,9876,140117,83547,41286,107623,93764,321878,246856,2068,22431,137975,39606,4062,202166,513624,49976,57872,2836,471781
259.5,56616,71675,33761,9510,39930,3201,161043,99771,1655,79049,0,8191,130723,84439,46853,103075,97039,331678,234448,2053,27627,131355,39208,5270,194799,510555,49333,61435,2696,464663
260.5,52499,75723,40457,9199,38251,2194,151360,94441,1783,79774,0,6764,120923,85690,53000,98739,100395,340261,221149,2071,33785,125072,38666,6781,186840,503472,48788,65434,2591,455960
261.5,48671,79717,48412,9059,36676,1485,140155,89173,1932,79939,0,5564,110932,87307,59748,94618,103810,347369,207231,2122,41001,119154,37973,8652,178348,492483,48332,69894,2516,445732
262.5,45117,83613,57754,9082,35200,993,127834,84003,2106,79533,0,4563,100952,89298,67113,90711,107258,352752,192953,2208,49362,113620,37123,10938,169398,477805,47954,74840,2470,434065
263.5,41823,87362,68575,9265,33820,657,114826,78967,2308,78565,0,3732,91164,91675,75102,87018,110713,356179,178561,2332,58933,108478,36115,13697,160072,459756,47643,80299,2451,421068
264.5,38775,90917,80913,9616,32532,429,101559,74092,2540,77058,1,3048,81724,94448,83716,83536,114146,357449,164274,2500,69750,103727,34951,16979,150465,438738,47391,86292,2458,406869
265.5,35958,94228,94727,10147,31333,278,88434,69402,2807,75050,2,2487,72759,97631,92944,80263,117527,356397,150288,2717,81816,99361,33638,20830,140675,415225,47190,92840,2490,391615
266.5,33359,97250,109871,10876,30219,178,75803,64917,3111,72590,5,2029,64363,101235,102767,77195,120827,352909,136764,2994,95089,95367,32187,25278,130804,389734,47029,99957,2548,375463
267.5,30963,99938,126075,11834,29187,113,63954,60651,3458,69737,10,1657,56601,105275,113154,74327,124014,346928,123836,3342,109477,91730,30614,30335,120954,362812,46903,107653,2633,358581
268.5,28758,102249,142930,13055,28232,71,53105,56613,3853,66558,19,1355,49511,109763,124063,71655,127057,338459,111603,3776,124836,88429,28935,35985,111224,335008,46802,115930,2747,341141
269.5,26730,104147,159884,14587,27352,44,43395,52809,4299,63124,35,1110,43104,114711,135442,69172,129926,327578,100139,4314,140962,85441,27171,42187,101707,306852,46721,124782,2893,323315
