particle_size,5_500_1_00,5_500_1_01,5_500_1_02,5_500_2_00,5_500_2_01,5_500_2_02,10_500_1_00,10_500_1_01,10_500_1_02,10_500_2_00,10_500_2_01,10_500_2_02,15_500_1_00,15_500_1_01,15_500_1_02,15_500_2_00,15_500_2_01,15_500_2_02,24_600_1_00,24_600_1_01,24_600_1_02,24_600_2_00,24_600_2_01,24_600_2_02,29_800_1_00,29_800_1_01,29_800_1_02,29_800_2_00,29_800_2_01,29_800_2_02,31_500_1_00,31_500_1_01,31_500_1_02,31_500_2_00,31_500_2_01,31_500_2_02,6_500_1_00,6_500_1_01,6_500_1_02,6_500_2_00,6_500_2_01,6_500_2_02,11_500_1_00,11_500_1_01,11_500_1_02,11_500_2_00,11_500_2_01,11_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,19_600_1_00,19_600_1_01,19_600_1_02,19_600_2_00,19_600_2_01,19_600_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02,1_500_1_00,1_500_1_01,1_500_1_02,1_500_2_00,1_500_2_01,1_500_2_02,7_500_1_00,7_500_1_01,7_500_1_02,7_500_2_00,7_500_2_01,7_500_2_02,16_500_1_00,16_500_1_01,16_500_1_02,22_800_1_00,22_800_1_01,22_800_1_02,22_800_2_00,22_800_2_01,22_800_2_02,27_800_1_00,27_800_1_01,27_800_1_02,27_800_2_00,27_800_2_01,27_800_2_02,33_500_1_00,33_500_1_01,33_500_1_02,33_500_2_00,33_500_2_01,33_500_2_02
40.5,0,0,813,0,0,0,0,214,2,1370,147,0,0,0,171,0,2,621,0,0,0,0,0,0,3,0,0,0,0,178,0,6220,127,1249,5223,303,9719,0,80,521,0,436,35,10836,5562,601,609,195,0,0,38,0,2,0,0,6,0,2,65,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,2,27,326,166,0,0,0,1,1,10,0,12403,0,2322,2790,14526,670,106,338,0,34,1186
41.5,0,0,1090,0,0,0,3,574,4,2876,318,0,0,0,356,3,7,1399,0,0,0,0,0,0,9,0,0,0,0,283,0,14208,285,3049,11045,693,12770,2,232,1144,0,821,115,20673,12412,1639,1446,380,0,0,104,0,34,0,0,15,0,6,130,1,0,0,0,0,0,38,0,0,18,0,0,0,2,0,0,1,1,6,108,981,470,0,0,0,3,4,26,0,20374,0,6008,5660,31348,1309,232,735,0,81,1880
42.5,0,0,1377,0,0,0,9,1440,11,5731,661,0,0,0,731,10,19,3058,0,0,0,1,3,0,24,0,0,0,0,426,0,29607,631,6885,22430,1485,16349,7,619,2283,0,1497,349,35567,26062,4069,3258,720,0,0,264,0,298,2,0,35,0,16,247,4,0,0,0,0,0,104,0,0,53,0,0,0,9,2,0,5,4,22,378,2623,1255,0,0,0,7,10,61,0,32608,0,13524,10982,59908,2387,491,1516,0,174,2951
43.5,0,0,1655,0,0,0,27,3382,28,10874,1324,0,0,0,1479,30,53,6467,0,0,0,2,9,0,62,0,0,0,0,621,0,56589,1372,14432,43643,3006,20578,21,1519,4198,0,2651,993,56192,51600,9245,6961,1336,0,0,625,0,1685,5,0,77,0,41,446,9,0,0,2,0,0,225,0,0,141,0,0,0,31,8,0,16,16,69,1181,6281,3165,0,0,0,16,24,137,0,51011,0,27127,20410,102808,4083,1011,2933,0,345,4589
44.5,0,0,1913,0,0,0,79,7450,74,19700,2559,2,0,3,2945,89,143,13182,0,0,0,3,26,0,160,2,0,0,0,888,0,99812,2910,28195,81158,5791,25664,57,3443,7202,0,4578,2639,83021,96527,19339,14085,2432,0,0,1386,0,6508,12,0,162,0,102,772,22,0,0,4,0,0,397,0,0,341,0,0,0,97,37,0,53,53,205,3314,13617,7551,1,0,0,34,55,289,0,78256,0,49558,36357,160734,6593,2023,5281,3,640,7066
45.5,0,0,2144,0,0,0,214,15440,195,34158,4776,11,0,13,5759,253,372,25803,0,0,0,5,66,0,400,6,1,0,0,1267,0,163553,5991,51575,143858,10689,31921,146,7230,11679,1,7731,6555,116702,170913,37482,26984,4364,0,0,2874,0,17997,27,0,331,0,244,1291,51,0,0,10,0,0,590,0,0,761,0,0,0,280,134,0,154,165,564,8415,27003,17050,7,0,0,73,124,580,3,118103,0,84061,62073,232253,10119,3940,8826,8,1123,10772
46.5,0,0,2351,0,0,0,547,30181,505,56796,8615,55,3,53,11031,691,926,48351,0,0,0,8,161,0,971,16,5,5,2,1823,0,250762,11914,88765,242497,19032,39814,350,14136,18135,6,12794,15214,158507,286952,67771,48979,7742,0,2,5578,0,37405,59,2,653,0,566,2104,119,0,0,23,0,0,757,0,0,1576,0,0,0,739,424,0,408,477,1442,19478,49499,36445,30,0,0,152,268,1106,21,175838,0,134530,101537,314456,14868,7473,13709,23,1886,16259
47.5,0,0,2545,0,0,0,1323,55795,1262,90719,15036,227,12,184,20617,1805,2217,86511,0,0,0,11,367,0,2266,42,19,27,10,2667,0,362383,22796,144485,388078,32885,50013,795,25888,27290,26,20791,33020,210724,457728,115120,84334,13599,0,9,10156,0,61245,127,7,1251,0,1263,3361,269,0,0,50,1,0,866,0,0,3034,0,0,0,1796,1178,0,993,1293,3440,41371,84741,73789,123,3,0,312,559,2012,121,258828,0,205734,159082,404054,21062,13791,19889,65,3058,24291
48.5,0,0,2741,1,0,0,3033,97821,3031,139414,25416,812,39,567,37435,4501,5078,147536,0,0,0,17,791,1,5067,105,61,126,48,3987,0,497212,41851,223607,589141,55449,63483,1720,44701,40236,100,33215,67110,276973,695249,185034,138021,23653,0,40,17396,0,82630,263,20,2338,0,2701,5299,596,0,0,107,3,0,906,0,0,5458,0,0,0,4042,2926,0,2227,3287,7681,81153,136801,141624,444,16,2,628,1124,3503,555,377129,0,303461,238774,498378,28970,24751,27167,177,4824,35914
49.5,0,0,2959,4,0,0,6603,163074,6948,206433,41658,2531,120,1550,65740,10686,11096,239615,0,0,0,25,1612,2,10804,245,172,503,205,6102,2,652312,73615,330776,848634,91664,81618,3549,73292,58656,356,52207,127965,362485,1008175,283432,215279,40680,0,164,28137,0,95805,532,52,4271,0,5533,8288,1292,0,0,218,6,0,890,0,0,9216,0,0,0,8471,6576,1,4637,7844,16111,147934,210099,257943,1439,67,6,1241,2180,5856,2130,543964,4,434414,343729,595978,38942,43151,35297,463,7457,52530
50.5,0,0,3225,12,0,0,13664,259180,15133,294958,66293,6947,347,3779,111171,24071,23067,370659,0,2,0,38,3114,5,21903,544,447,1748,758,9554,13,823805,124036,470139,1161543,149079,106431,7004,114942,85149,1166,80759,229464,474346,1399880,416580,321042,68996,0,617,43148,1,99213,1046,126,7644,0,10833,12906,2742,0,0,432,12,0,839,1,0,14677,0,0,3,16630,13528,4,9013,17607,31854,252180,309417,446401,4158,243,22,2411,4078,9430,6935,775738,23,605675,475678,696773,51463,72978,44128,1168,11356,75983
